Deposit/Project Name,Country,Primary Mineral deposit Type,Secondary Mineral deposit Type,Other Mineral deposit Type,Min. ResC Mt,Min. ResV Mt,Min. ResC Cu %,Min. ResV Cu %
Rauhala,Finland,VMS,,,1.7,,1.33,
Rautavaara (Cu),Finland,IOCG,,,6.236,,0.163919179,
Rautavaara-R1 (Pappilanmäki),Finland,IOCG,,,34.2617,,0.102,
Riikonkoski,Finland,VMS,,,9.45,,0.45,
Rusamo,Finland,Magmatic Sulphide,Stratabound Contact-type,,1.5,,0.36,
Rytky,Finland,Magmatic Sulphide,Stratabound Contact-type,,1.54,,0.3,
Saattopora,Finland,Orogenic Au,,,11.6,,0.62,
Sahakoski,Finland,Magmatic Sulphide,Intrusion,,1.6,,0.19,
Sahavaara,Finland,IOCG,,,144.7,,0.5,
Saramäki,Finland,VMS,,,3.4,,0.71,
Saattopora,Finland,Orogenic Au,,,11.6,,0.62,
Salo-Issakka,Finland,Epithermal,,,1.8,,0.33,
Säviä,Finland,IOCG?,,,1.0,,0.23,
Sykäräinen,Finland,Skarn,,,0.195,,1.95,
Taivaljärvi,Finland,Epithermal,,,7.347079,,0.01122102369,
Talvivaara (Kolmisoppi-Kuusilampi),Finland,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,Shale-hosted Ni,2053.0,,0.13,
Tjårrojåkka,Finland,IOCG,,,52.6,,0.06,
Tepsa,Finland,Orogenic Au/IOCG?,,,0.2,,0.2,
Vaaralampi,Finland,Magmatic Sulphide,Stratabound Contact-type,,32.0,,0.2,
Vammala (Stormi-Ekojoki),Finland,Magmatic Sulphide,Intrusion-related,,2.652,,0.3415686275,
Vammala Pori (Mäntymäki-Hyvelä-Sahakoski),Finland,Magmatic Sulphide,Intrusion,,2.873,,0.2337556561,
Bodennec,France,VMS,,,7.0,,0.58,
Chessy-les-Mines,France,VMS,,,5.4,,2.3,
Porte-Aux-Moines (Merléac),France,VMS,,,2.201,,0.8,
Sain Bel,France,VMS,,,20.0,,0.3,
Rouez,France,VMS,Besshi-type,,100.0,,0.6,
Adange,Georgia,VMS,May also be Sedex?,,8.62,,2.9,
Artana,Georgia,VMS,May also be Sedex?,,9.05,,3.87,
Dambludi,Georgia,Epithermal,High sulphidation,,1.869,,0.76,
David Garedji,Georgia,Epithermal,High sulphidation,,2.0,,0.8,
Kvemo Bolnisi,Georgia,VMS,,,5.479,,1.46,
Madneuli (Georgia),Georgia,Epithermal,High sulphidation,,93.07,,1.28,
Merisi Group,Georgia,Porphyry,,,3.268,,2.84,
Sakdrisi,Georgia,Epithermal,High sulphidation,transitional to VMS,75.6,,1.03,
Tsiteli Sopeli,Georgia,VMS,,,12.84,,1.58,
Zeshko,Georgia,VMS,May also be Sedex?,,22.88,,3.5,
KSL (Spremberg-Graustein-Schleife),Germany,Sediment-hosted Stratiform/Stratabound Cu,Cu-Ag,,129.662,,1.469596258,
Mechernich,Germany,Sediment-hosted Pb-Zn,,,100.0,,0.05,
Richelsdorf,Germany,Sediment-hosted Stratiform/Stratabound Cu,,,40.0,,0.77,
Sangerhausen,Germany,Sediment-hosted Stratiform/Stratabound Cu,,,35.4,,2.429378531,
Fisoka,Greece,Porphyry,,,20.0,,0.47,
Polikastro,Greece,VMS,,,0.5,,0.35,
Sapes (Sappes),Greece,Epithermal,High sulphidation,,3.434,,0.1,
Skouries,Greece,Porphyry,Cu-Au,,459.417,152.736,0.3951966949,0.51
Blyklippen,Greenland,Sediment-hosted Pb-Zn,MVT,,0.22,,0.7,
Ladderbjerg,Greenland,Sediment-hosted Stratiform/Stratabound Cu,,,2.5,,0.15,
Rubjerg Knude,Greenland,Sediment-hosted Stratiform/Stratabound Cu,,,12.0,,0.3,
Aranka,Guyana,VMS,,,2.4,,0.45,
Groete Creek,Guyana,VMS,,,98.2,,0.11,
Toroparu,Guyana,Porphyry,,,425.963,,0.06494074368,
Blondin,Haiti,Porphyry,,,45.36,,0.56,
Casseus-Meme,Haiti,Porphyry,,,8.5,,0.9763529412,
Douvray,Haiti,Porphyry,,,189.490622,,0.3,
Quita Gana,Honduras,Skarn,,,1.52,,2.17,
Minas de Oro,Honduras,Skarn,,,11.9,,0.8109243697,
Recsk,Hungary,Epithermal,High sulphidation,,159.0,,1.14,
Ajari,India,VMS,,,0.1,,0.8,
Ambaji,India,Sediment-hosted Pb-Zn,MVT,,8.8,,1.6,
Ambamata,India,Sediment-hosted Pb-Zn,Sedex,,8.3,,2.0,
Askot,India,VMS,,,2.08,,2.500865385,
Banwas Block,India,IOCG,,,25.02,,1.69,
Basantgarh,India,VMS,,,3.5,,1.7,
Bohtang-Rangpo,India,Sediment-hosted Pb-Zn,Sedex,,0.7,,1.2,
Bhukia,India,Orogenic Au,,,105.8,,0.15,
Chandamari-Kolihan,India,IOCG,,,12.1,,1.03,
Danva,India,VMS,,,0.3,,1.4,
Deri,India,Sediment-hosted Pb-Zn,Sedex,,1.0,,2.0,
Goliya,India,VMS,,,1.0,,0.8,
Gorubathan,India,Sediment-hosted Pb-Zn,Sedex,,2.79,,0.1,
Indian Copper Complex Group,India,Sediment-hosted Stratiform/Stratabound Cu,Metamorphosed so origins occluded,,316.47,119.61,1.134251588,1.24
Kalabar,India,VMS,,,1.0,,0.4,
Khetri-Kolihan,India,IOCG,,,134.12,39.25,1.250249776,1.13
Madan-Kudan,India,Sediment-hosted Stratiform/Stratabound Cu,Metamorphosed so origins occluded,,66.0,,1.415,
Malanjkhand,India,Porphyry,,,566.25,234.66,0.9617117881,0.95
Pipela,India,VMS,,,0.6,,1.8,
Rewara,India,Sediment-hosted Pb-Zn,Sedex,,1.2,,0.7,
Surda,India,Sediment-hosted Stratiform/Stratabound Cu,Metamorphosed so origins occluded,,10.938353,,1.109610226,
Batu Hijau,Indonesia,Porphyry,Cu-Au,,1036.907216,657.5257732,0.3885225691,0.4068454061
Beruang Kanan,Indonesia,Porphyry,Cu,,64.7,,0.6231839258,
Beutong,Indonesia,Porphyry,Cu-Au-Mo,,511.0,,0.4791193738,
Binabase-Bawone,Indonesia,Epithermal,High sulphidation,,4.5,,0.29,
Bulagidun,Indonesia,Porphyry,,,14.4,,0.61,
Elang,Indonesia,Porphyry,,,1851.340206,,0.3197304822,
Ertsberg-Grasberg Group,Indonesia,Porphyry,Cu-Au,,4337.0,2116.0,0.8812543233,1.052362949
Gunung Rosa,Indonesia,Epithermal,,,2.79358,,0.3021212924,
Kaputusan,Indonesia,Porphyry,,,70.0,,0.3,
Lakuwahi,Indonesia,Epithermal,,,81.717,,0.07,
Randu Kuning (Wonogiri),Indonesia,Porphyry,,,90.9,,0.1,
Tansgse,Indonesia,Porphyry,,,600.0,,0.15,
Tapadaa,Indonesia,Porphyry,,,43.0,,0.54,
Tombulilato Group,Indonesia,Porphyry,,,400.6,,0.48,
Tujuh Bukit,Indonesia,Porphyry,Cu-Ag,,1942.0,,0.5,
West Lombok-Selodong,Indonesia,Porphyry,,,81.855,,0.24,
Wetar-(Kali Kuning-Lerokis),Indonesia,VMS,,,9.2,8.9,2.4,2.4
Ali-Abad (Aliabad),Iran,Porphyry,,,40.0,,0.73,
Bagh Khoshk,Iran,Porphyry,,,24.0,,0.27,
Chah-Firuzeh,Iran,Porphyry,,,149.1,,0.41,
Dalli,Iran,Porphyry,,,8.0,,0.5,
Dar Alu,Iran,Porphyry,,,186.1,,0.36,
Darreh Zar (Darrehzar),Iran,Porphyry,,,141.1,,0.7175407512,
Darreh Zereshk (Darrehzereshk),Iran,Porphyry,,,29.0,,0.9,
Ghal'e Zari,Iran,IOCG,,,0.36,,0.4,
Haft Cheshmeh,Iran,Porphyry,,,184.0,,0.26,
Iju,Iran,Porphyry,,,73.9,,0.31,
Kahang,Iran,Porphyry,,,60.0,,0.6,
Kale Kafi,Iran,Porphyry,,,245.0,,0.26,
Lar,Iran,Porphyry,,,40.0,,0.425,
Masjed Daghi,Iran,Porphyry,,,204.0,,0.34,
Mazra'e,Iran,Skarn,,,0.86,,1.7,
Meydouk (Meiduk),Iran,Porphyry,,,170.0,,0.86,
Now Chun,Iran,Porphyry,,,527.0,,0.26,
Raigun,Iran,Porphyry,,,10.0,,0.63,
Sar Cheshmeh,Iran,Porphyry,Cu,,1538.0,,0.58,
Sar Kuh,Iran,Porphyry,,,16.0,,0.46,
Songoon (Sungun),Iran,Porphyry,,,3000.0,,0.7,
Taknar I-II,Iran,VMS,,,0.15,,2.0,
Touzlar,Iran,Epithermal,high sulphidation,,1.5,,0.3,
Aherlow,Ireland,Sediment-hosted Stratiform/Stratabound Cu,,,6.0,,0.89,
Allihies,Ireland,Sediment-hosted Stratiform/Stratabound Cu,,,1.3,,1.65,
Avoca,Ireland,VMS,,,16.0,,0.6,
Ballyvergin,Ireland,Sediment-hosted Stratiform/Stratabound Cu,,,24.02061856,,0.97,
Bunmahon,Ireland,Sediment-hosted Pb-Zn,MVT,Irish-type,0.8,,3.0,
Charlestown,Ireland,Skarn,,,3.0,,0.6,
Gortdrum,Ireland,Sediment-hosted Pb-Zn,MVT,Irish-type,3.8,,1.19,
Mallow (Tullacondra),Ireland,Sediment-hosted Pb-Zn,MVT,Irish-type,3.6,,0.7,
Tynagh,Ireland,Sediment-hosted Pb-Zn,MVT,Irish-type,9.4,,0.3,
Calabona,Italy,Porphyry,,,189.0,,0.06857142857,
Campiglia,Italy,Sediment-hosted Pb-Zn,Skarn,Exoskarn?,1.0,,1.0,
Funtana Raminosa,Italy,Sediment-hosted Pb-Zn,Skarn,Exoskarn?,1.0,,1.0,
Southern Sulcis,Italy,Sediment-hosted Pb-Zn,Skarn,Exoskarn?,1.0,,0.6,
Su Zurfuru,Italy,Sediment-hosted Pb-Zn,Skarn,Exoskarn?,2.0,,1.0,
Tregiovo,Italy,Sediment-hosted Pb-Zn,Skarn,Exoskarn?,40.0,,0.12,
Bellas Gate,Jamaica,Porphyry,,,13.177,,0.35,
Feinan (Fenan),Jordan,Sediment-hosted Stratiform/Stratabound Cu,,,19.8,,1.36,
Khirbet EL Nahas /Wadi Jariya,Jordan,Sediment-hosted Stratiform/Stratabound Cu,,,25.0,,2.33,
Wadi Abu Khusheiba,Jordan,Epithermal,High sulphidation,,8.0,,0.65,
Aidarly,Kazakhstan,Porphyry,,,1450.0,,0.4,
Aktogay (Aktogai),Kazakhstan,Porphyry,,,2203.556,1512.9,0.3282465252,0.3458430828
Avangard,Kazakhstan,VMS,,,15.0,,1.3,
Benkala-South Benkala (Benqala),Kazakhstan,Porphyry,,,537.015,,0.4034280979,
Besshoky,Kazakhstan,Porphyry,,,138.0,,0.52,
Borly,Kazakhstan,Porphyry,,,175.0,,0.34,
Bozshakol (Boshekul),Kazakhstan,Porphyry,,,1220.0,573.0,0.339352459,0.38
Chashinskoye Tailings,Kazakhstan,Tailings,,,88.0,,0.05340909091,
Central Region-Balkhash Complex,Kazakhstan,Porphyry-Skarn-VMS-IOCG,,,5396.767,240.082,0.4040721714,0.97
Chatyrkul,Kazakhstan,Porphyry,,,90.7,,0.6,
Dolinnoe (Dolinnoye),Kazakhstan,VMS,,,6.8,,0.3,
East Region,Kazakhstan,VMS,Multiple deposits,,40.259,19.889,2.83,2.57
Karatas (Karatas-I),Kazakhstan,Porphyry,,,29.0,,0.44,
Karchiga,Kazakhstan,VMS,Besshi-type,,10.82,10.0,1.729075786,1.67
Kazkyrmyskoye (Kazkyrmys / Vostok),Kazakhstan,Porphyry,,,375.0,,0.41,
Kenkuduk (Kaskyrkazgan),Kazakhstan,Porphyry,,,23.7,,0.34,
Kepcham,Kazakhstan,Porphyry,,,35.8,,0.34,
Koksay (Koksai),Kazakhstan,Porphyry,,,736.0,,0.4204402174,
Koktasdzhal,Kazakhstan,Porphyry,,,57.0,,0.62,
Kounrad (Qonyrat),Kazakhstan,Porphyry,Cu-Au,,637.0,,0.59,
Kounrad (Qonyrat) Waste Rock Dumps,Kazakhstan,Waste Rock Dumps,Porphyry,Cu-Au,636.4546937,,0.09647191011,
Kyzylkain,Kazakhstan,Porphyry,,,542.0,,0.3,
Kyzyltu,Kazakhstan,Porphyry,,,65.8,,0.48,
Limmanoe,Kazakhstan,VMS,,,37.17,,1.59,
Maleevsky,Kazakhstan,VMS,,,17.78,10.0,2.094004499,1.6
Naimanjal-Baitimir,Kazakhstan,Porphyry,,,48.982,,0.43,
Naimanjal-Beschoku,Kazakhstan,Porphyry,,,0.863772,,0.44,
Novo-Leninogorskoye,Kazakhstan,VMS,,,40.0,,0.2,
Nurkazgan,Kazakhstan,Porphyry,,,213.0,,0.81,
Obruchevskoe,Kazakhstan,VMS?,,,7.0,,0.8342857143,
Ozernoe,Kazakhstan,Porphyry,,,194.0,,0.36,
Ridder-Sokolny,Kazakhstan,VMS,,,37.3,15.3,0.7946380697,0.5437908497
Sarioba,Kazakhstan,Sediment-hosted Stratiform/Stratabound Cu,,,177.7,,0.87,
Saryshagan,Kazakhstan,Porphyry,,,324.0,,0.27,
Shemonaikhinskoe,Kazakhstan,VMS,,,1.1,,0.9,
Shuak,Kazakhstan,Porphyry,Cu-Au-Mo,,49.5,,0.66,
Shubinsky,Kazakhstan,VMS,,,1.41,0.29,1.953191489,1.975862069
Starkovskoe,Kazakhstan,VMS,,,5.1,,0.91,
Staroye Tailings,Kazakhstan,Tailings,,,5.7,,0.0349122807,
Tarutin (Tarutinskoye),Kazakhstan,Porphyry,,,1.96,0.88,1.524081633,1.62
Tishinsky,Kazakhstan,VMS,,,8.24,2.41,0.643592233,0.615186722
Tishinsky Tailings,Kazakhstan,Tailings,VMS,,1.15,,0.23,
Varvara (Varvarinskoye),Kazakhstan,Porphyry,,,70.75,35.8,0.4876212014,0.43
Vesennee (Vesenny),Kazakhstan,VMS,,,14.0,,2.62,
Yubileiny (Yubileinoe),Kazakhstan,Porphyry,,,8.244,,0.4,
Zhezkazgan-Zhomart Complex,Kazakhstan,Sediment-hosted Stratiform/Stratabound Cu,,,624.906,326.054,1.05,0.758641636
Bumbo,Kenya,Sediment-hosted Pb-Zn,Sedex,,1.836734694,,1.85,
Andash,Kyrgyzstan,Porphyry,Cu-Au,,15.998,15.998,0.3986579572,0.3986579572
Bozymchak (Boz Emchek),Kyrgyzstan,Skarn,,,17.322,15.712,0.86,0.75
Chontash,Kyrgyzstan,Skarn,,,3.28,,0.2192073171,
Kuru-Tegerek,Kyrgyzstan,Skarn,,,36.5,,0.97,
Mironovskoye,Kyrgyzstan,Skarn?,,,1.58223,,1.49,
Nasonovskoye,Kyrgyzstan,Skarn,,,0.751,,0.6,
Saryaygyr,Kyrgyzstan,Porphyry,,,0.3728,,0.18,
Sarybulak,Kyrgyzstan,Skarn,,,2.1,,0.2523809524,
Severniy,Kyrgyzstan,Porphyry,,,1.8,,0.26,
Talas (Taldy-Bulak),Kyrgyzstan,Porphyry,Cu-Au,,452.7,,0.17,
TB Lev.,Kyrgyzstan,Porphyry,Cu-Au,,18.7,,0.25,
Ban Houei Mo,Laos,Epithermal?,,,7.606,,2.24,
KTL (Kham Thong Lai),Laos,Epithermal?,,,19.0,,0.94,
Long Chieng Track (LCT),Laos,Porphyry,,,31.0,,0.08,
Phu Kham,Laos,Porphyry-Skarn,,,184.0,130.0,0.49,0.52
Phu Taxan (Phuda),Laos,Epithermal?,,,0.041,,15.0,
Sepon (Cu-Au),Laos,Porphyry,Cu-Au,,31.7,16.9,2.240063091,2.665088757
Bučim,Macedonia,Porphyry,,,150.0,,0.3,
Ilovica (Ilovitza),Macedonia,Porphyry,,,256.8,198.1,0.2171845794,0.21
Faléa,Mali,Unconformity-related Uranium,,,15.66,,0.1824265645,
Mengapur,Malaysia,Skarn,,,224.0,,0.25,
Lohan Mamut Tailings,Malaysia,Tailings,Porphyry,,130.0,,0.096,
Guelb Moghrein,Mauritania,IOCG,,,54.57,29.9,0.7876269012,0.76
Angangueo,Mexico,Epithermal?,,,6.365,6.365,1.447823252,1.447823252
Aranzazu,Mexico,Epithermal,High to Intermediate sulphidation,,23.847,,1.393444039,
Arista-El Aguila,Mexico,Epithermal,Intermediate sulphidation,,2.2791,1.6445,0.3278443245,0.3
Avino,Mexico,Epithermal,Low sulphidation,,17.468738,,0.454266107,
Azulitas,Mexico,Porphyry,,,6.96,,0.47,
Bahuerachi,Mexico,Porphyry,,,604.685,250.571,0.3937523173,0.43
Bilbao,Mexico,Skarn,,,11.05,,0.1896108597,
Bismark,Mexico,Skarn,,,4.042,4.042,0.38,0.38
Bolivar,Mexico,Skarn,,,21.568,7.457,0.7728523739,0.76
Buenavista del Cobre (Cananea),Mexico,Porphyry,Cu,,8623.409,8623.409,0.4172255025,0.4172255025
Buenavista Zinc,Mexico,Skarn?,,,75.6,,0.58,
Campo Morado / G-9,Mexico,VMS,,,16.85,,0.8844510386,
Cascada,Mexico,Epithermal,High sulphidation,,2.06,,0.9,
Cerro del Gallo,Mexico,Porphyry,,,627.0,32.179,0.1073524721,0.08
Chalchihuites,Mexico,Skarn,,,16.0,,0.69,
Charcas-Las Eulalias,Mexico,Skarn,,,0.42,,0.19,
Charcas-Santa Rosa,Mexico,Skarn,,,0.797,,0.54,
Cobre Grande,Mexico,Skarn,,,50.6,,0.4893873518,
Cozamin,Mexico,Epithermal-Mesothermal,Intermediate Sulphidation?,,28.605,7.216,1.452209404,1.5
Cuatro Hermanos,Mexico,Porphyry,,,763.772,,0.1802113118,
Cumobabi,Mexico,Porphyry,,,67.0,,0.266,
El Arco,Mexico,Porphyry,Cu,,2206.646,2206.646,0.4133811826,0.4133811826
El Barqueño,Mexico,Epithermal,,,19.658,,0.19,
El Batamote,Mexico,Porphyry,,,44.0,,0.36,
El Boleo,Mexico,Skarn-Manto,,,424.53,,0.6545080442,
El Cajón,Mexico,Skarn,,,3.93,,0.4258854962,
El Creston,Mexico,Porphyry,Cu-Mo,,293.8,,0.05230088496,
El Gochico (San Bernardo Raquel 3-3B),Mexico,Skarn,,,0.301,,0.59,
El Pilar,Mexico,Porphyry,Cu,,482.852,258.545,0.2575233985,0.304
El Tecolote (Reyna del Cobre) Tailings,Mexico,Tailings,Porphyry-Skarn,,1.0,,0.4,
Gavilanes,Mexico,VMS,,,9.63,,0.07596884735,
IMMSA Group,Mexico,Porphyry,Cu-Mo,,43.891,43.891,0.4960765533,0.4960765533
Jesus Maria-Patrocinio,Mexico,VMS,,,0.12,,0.12,
La Balsa,Mexico,Porphyry,Cu,,12.124,,0.7634922468,
La Caridad,Mexico,Porphyry,Cu-Mo,,4861.45,4861.45,0.2222972944,0.2222972944
La Florida-Barrigon (Mina La Lilly),Mexico,Porphyry,,,135.0,,0.33,
La Joya (MMT-Santo Nino),Mexico,Skarn,,,126.739,,0.2,
La Negra,Mexico,Skarn,,,5.367,,0.5208999441,
La Reyna,Mexico,Porphyry,,,33.0,,0.5,
La Verde,Mexico,Porphyry,,,1429.603,,0.2717576558,
Los Chalchihuites,Mexico,Skarn,,,21.0,,0.63,
Los Gatos,Mexico,Epithermal,,,25.49,,0.1,
Los Verdes,Mexico,Porphyry,,,8.339098,,0.6094857741,
Luz del Cobre-Calvario,Mexico,Porphyry,,,3.373199,3.604398,1.036034699,1.0
Madero (Francisco I. Madero),Mexico,Skarn,,,36.574,36.574,0.07,0.07
Malpica,Mexico,Porphyry,,,37.0,,0.52,
Media Luna,Mexico,Skarn,,,79.3,,0.8,
Milpillas,Mexico,Porphyry,Cu,,19.015,19.015,1.24,1.24
Naica,Mexico,Skarn,,,4.863,4.863,0.01,0.01
Cosalá (Nuestra Señora-Zone 120),Mexico,Skarn,,,4.495,0.593,0.2582135706,0.19
Piedras Verdes (Cobre del Mayo),Mexico,Porphyry,,,457.99,291.81,0.2797729208,0.29
Promontorio,Mexico,Epithermal,High sulphidation,,0.84,,2.5,
Rey de Plata,Mexico,VMS,,,22.796,22.796,0.81,0.81
Sabinas,Mexico,Skarn,,,15.934,15.934,0.39,0.39
San Felipe,Mexico,Epithermal,,,4.005708,,0.299762449,
San Javier-Cerro Verde,Mexico,IOCG,,,89.7,,0.3365440357,
San José de Gracia,Mexico,Epithermal,Low sulphidation,,15.058,,0.1978190995,
San Nicolas,Mexico,VMS,,,102.5,,1.24,
San Sebastian (Cu only),Mexico,Epithermal,Low/Intermediate sulphidation,,1.58560416,,1.556379448,
Santa Barbara-Progreso,Mexico,Skarn,,,2.8,,0.38,
Santa Barbara-La Paz / Palo Blanco,Mexico,Skarn,,,1.248,,0.44,
Santo Tomas,Mexico,Porphyry,,,274.0,,0.5,
Sierra Mojada,Mexico,Sediment-hosted Pb-Zn,MVT,,59.22,,0.04514353259,
Suaqui Verde,Mexico,Porphyry,,,87.2,,0.43,
Tameapa (Pico Prieto-Venado),Mexico,Porphyry,,,1073.3,,0.1739178235,
Tepal,Mexico,Porphyry,,,225.686,,0.1891096922,
Terrazas,Mexico,Skarn,,,90.64,,0.3222272727,
Tizapa,Mexico,VMS,,,9.835,9.835,0.3,0.3
Velardeña,Mexico,Skarn,,,31.34,31.34,0.21,0.21
Washington,Mexico,Porphyry,Cu,,1.2,,1.8,
Erdenet,Mongolia,Porphyry,Cu-Mo,,1521.0,,0.62,
Golden Hills (Bayan Airag),Mongolia,VMS,,,28.761,,1.123202948,
Kharmagtai Group,Mongolia,Porphyry,,,203.0,,0.34,
Lookout Hill,Mongolia,Porphyry,,,308.0,35.0,1.266428571,1.59
Oyu Tolgoi-Oyut,Mongolia,Porphyry,Cu,,1742.0,986.0,0.3940642939,0.4447667343
Oyu Tolgoi-Hugo Dummett North,Mongolia,Porphyry,,,1677.0,464.0,1.118270722,1.66
Oyu Tolgoi-Hugo Dummett North Extension,Mongolia,Porphyry,,,297.0,35.0,1.234511785,1.59
Oyu Tolgoi-Hugo Dummett South,Mongolia,Porphyry,,,839.0,,0.77,
Oyu Tolgoi-Heruga ETG,Mongolia,Porphyry,,,1700.0,,0.39,
Oyu Tolgoi-Heruga OT,Mongolia,Porphyry,,,117.0,,0.41,
Tsagaan Suvarga,Mongolia,Porphyry,,,240.0,,0.53,
Tumurtui South,Mongolia,Sediment-hosted Pb-Zn,Skarn?,,18.3,,0.46,
Zuun Mod,Mongolia,Porphyry,,,650.0,,0.06251538462,
Monty Group,Montenegro,Sediment-hosted Pb-Zn,Sedex,,9.52,,0.2838865546,
Agjgl (Agujgal),Morocco,Sediment-hosted Stratiform/Stratabound Cu,,,5.0,,1.0,
Akka,Morocco,Orogenic Au,,,7.626048802,4.579971373,1.9799375,2.257153846
Alous,Morocco,Sediment-hosted Stratiform/Stratabound Cu,,,8.448406,,0.6914170287,
Amadouz,Morocco,Sediment-hosted Stratiform/Stratabound Cu,,,1.75,,1.0,
Bouskour,Morocco,Porphyry,,,57.354,,0.9202360777,
CMG (Hajar-Draâ Sfar-Tighardine-Amensif),Morocco,VMS,,,12.774583,2.070501,0.2832890905,0.2673749011
Jbel Laassel,Morocco,Sediment-hosted Stratiform/Stratabound Cu,,,7.5,,1.0,
Jbel N'Zourk,Morocco,Sediment-hosted Stratiform/Stratabound Cu,,,4.0,,0.8,
Oumejrane (CMO),Morocco,Epithermal,High sulphidation,,3.174666667,2.542888889,2.7,2.7
Tazalaght,Morocco,Sediment-hosted Stratiform/Stratabound Cu,,,3.0,,1.5,
Tizert,Morocco,Sediment-hosted Stratiform/Stratabound Cu,,,30.0,,1.0,
Mundonguara,Mozambique,VMS?,,,3.1,,1.4,
Bawdwin,Myanmar (Burma),VMS,,,10.8,,1.05,
Monywa-Letpadaung,Myanmar (Burma),Porphyry,,,1478.0,803.0,0.3773951286,0.43
Monywa-Sabetaung/Kyisintaung,Myanmar (Burma),Porphyry,,,563.752,230.752,0.306961217,0.3620336985
Dordabis-Koperberg,Namibia,Sediment-hosted Stratiform/Stratabound Cu,Minor VMS?,,1.3801,,1.054974277,
Dordabis-RK,Namibia,Sediment-hosted Stratiform/Stratabound Cu,Minor VMS?,,1.32,,1.05,
Elbe (A-Gossan),Namibia,Sediment-hosted Stratiform/Stratabound Cu,,,5.91,,1.2,
Gross Otavi Central,Namibia,VMS/Sediment-hosted Pb-Zn,,,0.16,,1.54,
Haib,Namibia,Porphyry,,,1353.0,,0.23,
Khusib Springs,Namibia,Sediment-hosted Pb-Zn,MVT?,,0.245,,4.5,
Klein Aub,Namibia,Sediment-hosted Stratiform/Stratabound Cu,,,7.5,,2.0,
Kombat Group,Namibia,VMS/Sediment-hosted Pb-Zn,VMS/Sedex,Silicate Zn?,3.488316,,2.052116118,
Kombat Tailings,Namibia,Tailings,VMS/Sediment-hosted Pb-Zn,VMS/Sedex,10.6,,0.21,
Kuiseb-Hope,Namibia,VMS,,,3.596831,,2.5,
Matchless,Namibia,VMS,,,0.5,0.3,2.77,1.83
Oamites,Namibia,Sediment-hosted Stratiform/Stratabound Cu,,,6.1,,1.33,
Okohongo,Namibia,Sediment-hosted Stratiform/Stratabound Cu,Cu-Ag,,10.2,,1.12,
Old Matchless,Namibia,VMS,,,1.1,,2.5,
Omitiomire,Namibia,Sediment-hosted Stratiform/Stratabound Cu,Cu,,136.9,,0.54,
Onganja (Elbe Onganja / Oganja),Namibia,Sediment-hosted Stratiform/Stratabound Cu?,,,0.3,,2.0,
Ongombo,Namibia,VMS,,,7.25,,1.655834483,
Otjihase,Namibia,VMS,,,8.9,2.2,1.78,2.48
Sib,Namibia,Sediment-hosted Stratiform/Stratabound Cu,,,0.967976,,0.73,
Tschudi,Namibia,Sediment-hosted Stratiform/Stratabound Cu,Cu-Ag,,52.1,25.5,0.81,0.85
Tsongoari,Namibia,Sediment-hosted Pb-Zn,Sedex?,,5.8,,0.4,
Tsumeb,Namibia,Pegmatite?,Tsumeb-type,,0.2,,2.96,
Tsumeb West,Namibia,Pegmatite?,Tsumeb-type,,1.0,,2.1,
Tsumeb West Tailings,Namibia,Tailings,Pegmatite?,Tsumeb-type,12.0,,0.48,
Uris,Namibia,Pegmatite?,Tsumeb-type,,0.2,,2.27,
Witvlei Pos,Namibia,Sediment-hosted Stratiform/Stratabound Cu,,,9.5,,1.5,
Witvlei-Malachite Pan,Namibia,Sediment-hosted Stratiform/Stratabound Cu,,,4.9937,,1.241430603,
Witvlei-Okasewa,Namibia,Sediment-hosted Stratiform/Stratabound Cu,,,4.6,,1.14,
Borosi Group-Rosita Stockpiles,Nicaragua,Stockpiles only,Skarn,,9.897,,0.5382004648,
Borosi Group-Rosita Tailings,Nicaragua,Tailings,Skarn,,1.956,,0.21,
Årdal,Norway,Orogenic Au,,,0.5,,0.22,
Asoren,Norway,VMS,,,0.73,,1.43,
Bidjovagge,Norway,VMS,,,2.557,,1.071423543,
Birtavarre,Norway,VMS,,,2.0,,1.9,
Bleikvassli,Norway,Sediment-hosted Pb-Zn,,,1.0,,0.15,
Bursi,Norway,VMS,,,0.015,,1.5,
Dalen,Norway,Magmatic Sulphide,Intrusion-related,,7.8,,0.12,
Ertelien,Norway,Magmatic Sulphide,Intrusion-related,,2.698,,0.69,
Fjeldgruve,Norway,VMS,,,0.03,,1.85,
Fonnfjell,Norway,VMS,,,0.13,,0.4,
Furuhaugen,Norway,VMS,,,0.15,,1.65,
Gjersvik,Norway,VMS,,,1.15,,2.15,
Grevdal,Norway,VMS,,,0.15,,1.0,
Grimsdalen,Norway,VMS,,,8.29,,0.5,
Karenhaugen,Norway,Magmatic Sulphide,Intrusion-related,,0.7,,0.57,
Malsa,Norway,VMS,,,0.5,,0.4,
Mofjellet,Norway,Sediment-hosted Pb-Zn,,,1.0,,0.31,
Mos Gruve,Norway,VMS,,,0.068,,0.5,
Nussir,Norway,Sediment-hosted Stratiform/Stratabound Cu,,,66.0,,1.16,
Rieppe (Riehppegaisa),Norway,VMS,,,3.0,,0.5,
Skiftesmyr,Norway,VMS,,,4.08,,1.0,
Skrattåsen (Skratås-Skrattas),Norway,VMS,,,0.08,,1.0,
